# TA87 - Tielens & allamandola - 1987ASSL..134..397T
# Allen & robinson '77 - 10.1086/155059 - 10_1086_155059.pdf - The molecular composition of dense interstellar clouds
# TH82 - Model calculations of the molecular composition of interstellar grain mantles - Tielens, A. G. G. M.; Hagen, W.
# HH93 - New gas-grain chemical models of quiescent dense interstellar clouds - The effects of H2 tunnelling reactions and cosmic ray induced desorption - Hasegawa, Tatsuhiko I.; Herbst, Eric
# 10.1039/b922598f - 10_1039_b922598f.pdf - Interaction of CH4 and H2O in ice mixtures - Herrero, VÃ­ctor J.; GÃ¡lvez, Ã“scar; MatÃ©, BelÃ©n; Escribano, Rafael
# 10.1086/342607 - 10_1086_342607.pdf - Molecular Hydrogen Formation in the Interstellar Medium - Cazaux, S.; Tielens, A. G. G. M. - The Astrophysical Journal, Volume 575, Issue 1, pp. L29-L32. (ApJL Homepage)
# 10.1111/j.1365-2966.2006.11216.x - 10_1111_j_1365_2966_2006_11216_x.pdf - Mon. Not. R. Astron. Soc. 374, 1006â€“1014 (2007) - Fundamental data on the desorption of pure interstellar ices - Wendy A. Brownâ‹† and Amandeep S. Bolina
# 10.1086/428901 - 10_1086_428901.pdf - Competition between CO and N2 Desorption from Interstellar Ices - Ã–berg, K. I.; van Broekhuizen, F.; Fraser, H. J.; Bisschop, S. E.; van Dishoeck, E. F.; Schlemmer, S. - The Astrophysical Journal, Volume 621, Issue 1, pp. L33-L36. (ApJL Homepage)
# 10.1088/0004-637X/693/2/1209 - 10_1088_0004_637X_693_2_1209.pdf - Photodesorption of Ices. II. H2O and D2O - Ã–berg, Karin I.; Linnartz, Harold; Visser, Ruud; van Dishoeck, Ewine F. - The Astrophysical Journal, Volume 693, Issue 2, pp. 1209-1218 (2009). (ApJ Homepage) 
# 10.1051/0004-6361/200810207 - 10_1051_0004_6361_200810207.pdf - Photodesorption of ices I: CO, N2, and CO2 - Ã–berg, K. I.; van Dishoeck, E. F.; Linnartz, H. - Astronomy and Astrophysics, Volume 496, Issue 1, 2009, pp.281-293 (A&A Homepage)
# 10.1051/0004-6361/200912559 - 10_1051_0004_6361_200912559.pdf - Formation rates of complex organics in UV irradiated CH_3OH-rich ices. I. Experiments - Ã–berg, K. I.; Garrod, R. T.; van Dishoeck, E. F.; Linnartz, H.
# ED10 - Edridge, PhD Thesis (2010) EXP: SO2 on SO2
# YN83 - YN83.pdf - The chemical composition and thermal history of the ice of a cometary nucleus - Yamamoto, T.; Nakagawa, N.; Fukui, Y. - Astronomy and Astrophysics (ISSN 0004-6361), vol. 122, no. 1-2, June 1983, p. 171-176 - http://cdsads.u-strasbg.fr/abs/1983A%26A...122..171Y
# 10.1051/0004-6361:20065560 - 10_1051_0004_6361_20065560.pdf - A&A 457, 927â€“936 (2006) - Formation of methyl formate and other organic species in the warm-up phase of hot molecular cores - R. T. Garrod1 and E. Herbst1,2
# 10.1111/j.1365-2966.2004.08272.x - 10_1111_j_1365_2966_2004_08272_x.pdf - Collings, Mark P.; Anderson, Mark A.; Chen, Rui; Dever, John W.; Viti, Serena; Williams, David A.; McCoustra, Martin R. S. - laboratory survey of the thermal desorption of astrophysically relevant molecules
#spec      E_D(K)   mass
HC2NC        4580.0  51 10.1051/0004-6361:20065560   
HC3N         4580.0  51 10.1051/0004-6361:20065560   
HCNC2        4580.0  51 10.1051/0004-6361:20065560   
HNC3         4580.0  51 10.1051/0004-6361:20065560   
C3O          2750.0  52 10.1051/0004-6361:20065560   
C4H4         5087.0  52 10.1051/0004-6361:20065560   
CH2CCN       5030.0  52 10.1051/0004-6361:20065560   
NCCN         1300.0  52 # no reference? 
SiC2         1300.0  52 # no reference? 
C4H5         5537.0  53 10.1051/0004-6361:20065560   
CH2CHCN      5480.0  53 10.1051/0004-6361:20065560   
HC3O         3200.0  53 10.1051/0004-6361:20065560   
SiC2H        1350.0  53 # no reference? 
C4H6         5987.0  54 10.1051/0004-6361:20065560   
H2C3O        3650.0  54 10.1051/0004-6361:20065560   
H4C3N        5930.0  54 10.1051/0004-6361:20065560   
SiC2H2       1400.0  54 # no reference? 
SiNC         1350.0  54 # no reference? 
H5C3N        6380.0  55 10.1051/0004-6361:20065560   
C2S          5320.0  56 ED10   
Fe           4200.0  56 HH93   
FeH          4650.0  57 10.1051/0004-6361:20065560   
CH3OCH3      3300.0  58 10.1051/0004-6361/200912559   
C5           4000.0  60 10.1051/0004-6361:20065560   
HCOOCH3      4000.0  60 10.1051/0004-6361/200912559   
OCS          2888.0  60 10.1111/j.1365-2966.2004.08272.x
SiO2         4300.0  60 10.1051/0004-6361:20065560   
SiS          3800.0  60 10.1051/0004-6361:20065560   
C5H          4537.0  61 10.1051/0004-6361:20065560   
C4N          4000.0  62 10.1051/0004-6361:20065560   
C5H2         4987.0  62 10.1051/0004-6361:20065560   
C5H3         5437.0  63 10.1051/0004-6361:20065560   
CH3C4H       5887.0  64 10.1051/0004-6361:20065560   
S2           2200.0  64 10.1051/0004-6361:20065560   
SO2          5330.0  64 ED10   
CH3C3N       6480.0  65 10.1051/0004-6361:20065560   
HS2          2650.0  65 10.1051/0004-6361:20065560   
SiC3H        1650.0  65 # no reference? 
H2S2         3100.0  66 10.1051/0004-6361:20065560   
C3S          3500.0  68 10.1051/0004-6361:20065560   
C6           4800.0  72 10.1051/0004-6361:20065560   
C6H          5337.0  73 10.1051/0004-6361:20065560   
C5N          4800.0  74 10.1051/0004-6361:20065560   
C6H2         5787.0  74 10.1051/0004-6361:20065560   
C6H3         6237.0  75 10.1051/0004-6361:20065560   
HC5N         6180.0  75 10.1051/0004-6361:20065560   
C6H4         6687.0  76 10.1051/0004-6361:20065560   
H2C5N        6630.0  76 10.1051/0004-6361:20065560   
SiC4         1900.0  76 # no reference? 
H3C5N        7080.0  77 10.1051/0004-6361:20065560   
C6H6         7587.0  78 10.1051/0004-6361:20065560   
C4S          4300.0  80 10.1051/0004-6361:20065560   
C7           5600.0  84 10.1051/0004-6361:20065560   
C7H          6137.0  85 10.1051/0004-6361:20065560   
C7H2         6587.0  86 10.1051/0004-6361:20065560   
C7H3         7037.0  87 10.1051/0004-6361:20065560   
C7H4         7487.0  88 10.1051/0004-6361:20065560   
CH3C6H       7487.0  88 10.1051/0004-6361:20065560   
CH3C5N       7880.0  89 10.1051/0004-6361:20065560   
C8           6400.0  96 10.1051/0004-6361:20065560   
